link,date,time,score,length 1,damage 1,source 1,length 2,damage 2,source 2,length 3,damage 3,source 3,length 4,damage 4,source 4,length 5,damage 5,source 5,length 6,damage 6,source 6,length 7,damage 7,source 7,length 8,damage 8,source 8,length 9,damage 9,source 9
https://dps.report/NbOl-20231021-220138_sam,21.10.2023,22:01:38,nan,4.1,4481.0,Rosenrot.1293,5.297,2799.0,Icetea.3204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/rjlk-20231021-220338_sam,21.10.2023,22:03:38,nan,5.303,4318.0,Rosenrot.1293,6.398,1707.5,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/0jyw-20231021-220522_sam,21.10.2023,22:05:22,nan,4.693,4481.0,Rosenrot.1293,5.708,0.0,Balthazar.9024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/ku2s-20231021-220707_sam,21.10.2023,22:07:07,nan,4.391,4318.0,Rosenrot.1293,3.699,4499.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/nPqj-20231021-220922_sam,21.10.2023,22:09:22,nan,3.899,4091.0,Rosenrot.1293,3.888,4299.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/iICL-20231021-221116_sam,21.10.2023,22:11:16,nan,8.096,3964.0,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/q99v-20231021-221314_sam,21.10.2023,22:13:14,nan,4.401,4481.0,Rosenrot.1293,7.401,3230.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/rifZ-20231021-221759_sam,21.10.2023,22:17:59,nan,5.5,4481.0,Rosenrot.1293,4.197,910.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/d48F-20231021-221950_sam,21.10.2023,22:19:50,nan,4.301,4544.0,Rosenrot.1293,5.596,4109.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/cexA-20231021-222135_sam,21.10.2023,22:21:35,nan,5.805,4644.0,Rosenrot.1293,0.896,0.0,Balthazar.9024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/VB3X-20231021-222327_sam,21.10.2023,22:23:27,nan,8.0,4335.5,Rosenrot.1293,3.788,4499.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
