link,date,time,p1 breakbar start,p1 breakbar end,p1 end,s1 start,s1 add1 death,s1 add2 death,s1 add3 death,s1 add4 death,p2 start,p2 breakbar start,p2 breakbar end,p2 end,s2 start,s2 add1 death,s2 add2 death,s2 add3 death,s2 add4 death,p3 start,p3 breakbar start,p3 breakbar end,p3 end
https://dps.report/06PP-20230915-193154_gors,2023.09.15,19:31:54,14.24,14.492,20.794,21.73,34.289,34.078,35.715,34.585,35.565,54.121,54.369,61.377,63.146,79.496,87.776,79.78,81.199,87.732,104.038,104.275,110.614
https://dps.report/O1pI-20230915-193541_gors,2023.09.15,19:35:41,14.482,14.716,21.139,22.108,33.528,34.928,33.827,37.662,37.521,56.476,56.717,64.397,66.401,81.938,82.834,79.129,86.154,86.075,102.006,102.234,
https://dps.report/YUrs-20230915-193736_gors,2023.09.15,19:37:36,14.038,14.265,,,,,,,,,,,,,,,,,,,
https://dps.report/OD74-20230915-194027_gors,2023.09.15,19:40:27,12.731,12.956,21.529,22.175,36.569,34.565,38.467,37.667,38.452,57.486,57.742,64.014,64.963,84.6,79.365,78.767,78.368,84.498,100.865,101.098,108.496
https://dps.report/wbaf-20230915-194234_gors,2023.09.15,19:42:34,13.365,13.525,21.043,21.197,33.215,36.622,39.318,36.622,39.248,58.083,58.333,65.681,,,,,,,,,
https://dps.report/GHyP-20230915-194518_gors,2023.09.15,19:45:18,13.959,14.2,,,,,,,,,,,,,,,,,,,
https://dps.report/ZcCQ-20230915-194802_gors,2023.09.15,19:48:02,12.935,13.171,19.815,20.212,34.554,32.94,37.14,35.443,37.058,55.983,56.208,61.378,63.618,80.045,77.169,79.462,75.158,79.981,96.26,96.499,
https://dps.report/Hlsn-20230915-195055_gors,2023.09.15,19:50:55,13.927,14.152,20.321,21.223,32.999,36.302,36.603,36.411,36.56,55.442,55.676,61.041,62.71,82.719,76.697,74.911,75.6,82.591,99.323,99.35,
https://dps.report/lXxk-20230915-195429_gors,2023.09.15,19:54:29,13.393,13.639,20.565,20.831,,,,,,,,,,,,,,,,,
https://dps.report/7gTr-20230915-195715_gors,2023.09.15,19:57:15,13.002,13.243,20.683,20.851,32.12,33.416,36.606,35.807,36.529,55.56,55.815,61.726,63.316,80.92,79.212,78.313,78.724,80.846,96.976,97.205,106.247
https://dps.report/KiO9-20230915-195836_gors,2023.09.15,19:58:36,13.959,14.185,,,,,,,,,,,,,,,,,,,
https://dps.report/HUpd-20230915-200135_gors,2023.09.15,20:01:35,14.306,14.529,21.325,21.878,32.831,33.936,38.751,36.559,38.61,57.942,58.167,63.484,66.448,80.839,80.138,76.23,78.845,80.695,96.851,97.084,
https://dps.report/uzjw-20230915-200244_gors,2023.09.15,20:02:44,14.129,14.38,,,,,,,,,,,,,,,,,,,
https://dps.report/ongc-20230915-200519_gors,2023.09.15,20:05:19,14.639,14.879,20.981,22.397,34.607,32.311,38.309,37.512,38.252,57.031,57.278,62.747,64.805,79.432,82.421,77.528,81.914,82.322,98.668,98.918,107.959
https://dps.report/t40l-20230915-201427_gors,2023.09.15,20:14:27,13.983,14.224,20.566,21.813,36.118,35.131,39.732,33.533,39.691,,,,,,,,,,,,
https://dps.report/Lg9M-20230915-201546_gors,2023.09.15,20:15:46,13.103,13.335,,,,,,,,,,,,,,,,,,,
https://dps.report/EIOB-20230915-201832_gors,2023.09.15,20:18:32,12.689,12.931,21.556,21.713,34.283,35.172,37.09,37.276,37.216,56.006,56.256,62.237,63.52,81.534,81.534,76.089,76.181,81.478,97.555,97.809,106.503
https://dps.report/HE44-20230915-202135_gors,2023.09.15,20:21:35,14.781,15.018,,,,,,,,,,,,,,,,,,,
https://dps.report/AzCE-20230915-202520_gors,2023.09.15,20:25:20,14.003,14.248,20.781,21.691,34.256,34.651,34.949,35.864,35.813,54.755,55.008,61.079,62.484,82.158,80.26,77.064,78.471,82.143,98.195,98.432,
https://dps.report/8DL5-20230915-202950_gors,2023.09.15,20:29:50,13.386,13.638,21.146,21.31,33.733,34.224,33.841,36.332,36.246,57.656,57.871,64.038,64.954,78.834,82.942,77.464,77.464,82.879,99.029,99.268,105.957
https://dps.report/DZHk-20230915-203421_gors,2023.09.15,20:34:21,14.41,14.668,20.732,21.244,33.379,32.981,33.882,34.987,34.895,53.883,54.151,61.021,62.004,79.495,82.799,82.491,73.788,82.73,98.742,98.977,106.014
https://dps.report/hw6S-20230915-203754_gors,2023.09.15,20:37:54,14.245,14.509,20.768,20.929,32.487,33.784,35.874,35.804,35.851,54.776,54.996,60.884,61.651,82.305,79.586,74.287,76.788,82.218,,,
https://dps.report/yY57-20230915-204032_gors,2023.09.15,20:40:32,14.367,14.601,20.624,21.785,33.193,31.388,37.596,35.292,37.569,56.277,56.537,61.873,63.825,80.392,81.195,76.196,75.502,81.157,97.805,98.029,103.922
https://dps.report/jO9I-20230915-204514_gors,2023.09.15,20:45:14,14.198,14.44,19.563,20.992,32.361,30.751,35.347,35.347,35.309,54.275,54.529,60.157,61.912,77.457,80.354,77.156,74.049,80.32,96.491,96.715,102.474
https://dps.report/EuT6-20230915-205155_gors,2023.09.15,20:51:55,12.966,13.208,20.011,20.157,34.228,31.443,34.133,33.736,34.175,55.397,55.653,,,,,,,,,,
https://dps.report/rAkD-20230915-205511_gors,2023.09.15,20:55:11,14.971,15.209,20.392,22.441,32.7,30.795,37.093,36.006,37.055,56.379,56.6,61.594,64.735,81.614,82.493,76.608,76.374,82.428,98.406,98.633,
https://dps.report/dw48-20230915-205749_gors,2023.09.15,20:57:49,13.762,13.785,19.538,20.868,33.511,30.107,35.601,34.214,35.519,54.202,54.427,60.235,61.193,76.913,80.816,73.904,75.42,80.715,97.062,97.306,103.333
https://dps.report/dRWx-20230915-210209_gors,2023.09.15,21:02:09,14.574,14.807,21.517,21.75,33.955,35.031,38.036,35.735,38.011,56.893,57.107,62.884,64.824,79.435,87.247,79.959,80.047,87.163,103.201,103.451,109.261
https://dps.report/u9Yt-20230917-180421_gors,2023.09.17,18:04:21,13.428,13.678,,,,,,,,,,,,,,,,,,,
https://dps.report/Hwhg-20230917-181148_gors,2023.09.17,18:11:48,14.075,14.327,,,,,,,,,,,,,,,,,,,
https://dps.report/rgby-20230917-181404_gors,2023.09.17,18:14:04,12.825,13.042,,,,,,,,,,,,,,,,,,,
https://dps.report/UbVj-20230917-181558_gors,2023.09.17,18:15:58,12.765,13.011,24.764,24.911,42.843,43.049,44.438,42.931,44.399,63.221,63.487,,,,,,,,,,
https://dps.report/cyjE-20230917-181716_gors,2023.09.17,18:17:16,12.64,12.878,,,,,,,,,,,,,,,,,,,
https://dps.report/zire-20230917-182012_gors,2023.09.17,18:20:12,13.44,13.674,24.353,25.837,,,,,,,,,,,,,,,,,
https://dps.report/2C9Q-20230917-182209_gors,2023.09.17,18:22:09,14.052,14.282,,,,,,,,,,,,,,,,,,,
https://dps.report/4hoF-20230917-182400_gors,2023.09.17,18:24:00,13.505,13.757,23.693,23.805,,,,,,,,,,,,,,,,,
https://dps.report/KbK4-20230917-182506_gors,2023.09.17,18:25:06,14.282,14.532,,,,,,,,,,,,,,,,,,,
https://dps.report/OEuw-20230917-182614_gors,2023.09.17,18:26:14,13.723,13.973,23.06,24.423,,,,,,,,,,,,,,,,,
https://dps.report/LE8c-20230917-182839_gors,2023.09.17,18:28:39,13.599,13.824,22.687,23.169,,,,,,,,,,,,,,,,,
https://dps.report/ZQ3g-20230917-183122_gors,2023.09.17,18:31:22,12.796,13.041,22.391,23.623,,,,,45.356,,,,,,,,,,,,
https://dps.report/aGAq-20230917-183311_gors,2023.09.17,18:33:11,12.999,13.231,23.573,24.243,,,,,,,,,,,,,,,,,
https://dps.report/wx5G-20230917-183517_gors,2023.09.17,18:35:17,14.316,14.554,22.876,23.047,,,,,,,,,,,,,,,,,
https://dps.report/Hr9v-20230917-183627_gors,2023.09.17,18:36:27,14.48,14.712,,,,,,,,,,,,,,,,,,,
https://dps.report/SWg0-20230917-183827_gors,2023.09.17,18:38:27,14.4,14.643,22.273,22.871,40.71,39.304,39.105,40.606,40.632,59.632,59.845,63.857,64.011,,,,,,,,
https://dps.report/Sudm-20230917-184027_gors,2023.09.17,18:40:27,14.076,14.333,22.717,22.902,41.962,37.742,40.633,40.14,41.899,63.375,63.589,66.563,,,,,,,,,
https://dps.report/IEfP-20230917-184234_gors,2023.09.17,18:42:34,12.228,12.467,22.106,22.563,37.62,38.315,42.331,41.225,42.303,60.902,61.153,65.31,65.474,,,,,,,,
https://dps.report/4WbG-20230917-184400_gors,2023.09.17,18:44:00,12.267,12.505,21.619,22.555,,,,,,,,,,,,,,,,,
https://dps.report/HVS5-20230917-184702_gors,2023.09.17,18:47:02,13.929,14.181,20.048,20.636,35.723,34.624,38.334,33.428,38.272,57.028,57.257,63.213,,,,,,,,,
https://dps.report/bekg-20230917-184956_gors,2023.09.17,18:49:56,14.234,23.487,,,,,,,,,,,,,,,,,,,
https://dps.report/iKob-20230917-190218_gors,2023.09.17,19:02:18,12.344,12.593,21.402,,,,,,,,,,,,,,,,,,
https://dps.report/84DI-20230917-190326_gors,2023.09.17,19:03:26,14.523,14.764,22.066,,,,,,,,,,,,,,,,,,
https://dps.report/xWXA-20230917-190535_gors,2023.09.17,19:05:35,14.039,14.269,21.12,21.272,36.632,34.836,38.135,36.245,38.086,56.849,57.077,59.712,59.877,,,,,,,,
https://dps.report/6v3U-20230917-190700_gors,2023.09.17,19:07:00,12.056,12.29,21.923,22.92,,,,,,,,,,,,,,,,,
https://dps.report/FxiO-20230917-190935_gors,2023.09.17,19:09:35,14.143,14.389,20.975,21.11,37.18,36.796,35.579,36.48,37.131,56.006,56.155,58.907,59.097,80.594,85.299,77.788,75.408,85.244,101.767,102.009,
https://dps.report/Jh9q-20230917-191345_gors,2023.09.17,19:13:45,14.256,14.496,20.715,20.886,35.911,35.722,39.117,35.023,39.026,57.849,58.094,60.623,60.761,80.717,77.437,76.716,77.924,80.684,96.868,97.08,
https://dps.report/vLcT-20230917-191504_gors,2023.09.17,19:15:04,13.246,13.481,21.524,21.761,,,,,,,,,,,,,,,,,
https://dps.report/eIFn-20230917-191628_gors,2023.09.17,19:16:28,14.249,14.51,21.562,22.566,,,,,,,,,,,,,,,,,
https://dps.report/CkeB-20230917-191800_gors,2023.09.17,19:18:00,13.822,14.046,,,,,,,,,,,,,,,,,,,
https://dps.report/6PzY-20230917-191918_gors,2023.09.17,19:19:18,12.12,12.369,,,,,,,,,,,,,,,,,,,
https://dps.report/onA3-20230917-192144_gors,2023.09.17,19:21:44,13.996,14.251,21.337,21.49,32.325,34.728,37.731,33.94,37.667,56.526,56.615,59.809,59.985,79.924,81.527,74.936,75.554,81.445,98.022,98.255,
https://dps.report/2QFo-20230917-192329_gors,2023.09.17,19:23:29,14.263,14.513,,,,,,,,,,,,,,,,,,,
https://dps.report/flp1-20230917-192542_gors,2023.09.17,19:25:42,14.405,14.644,21.445,21.613,33.719,37.717,39.425,37.239,39.323,58.195,58.43,61.233,61.393,,,,,,,,
https://dps.report/EGhM-20230917-192642_gors,2023.09.17,19:26:42,12.163,12.413,,,,,,,,,,,,,,,,,,,
https://dps.report/kw0R-20230917-192917_gors,2023.09.17,19:29:17,13.805,14.038,21.566,21.712,33.822,34.521,39.623,38.13,39.562,58.519,58.754,61.325,61.489,81.232,85.421,79.726,77.129,85.329,101.483,101.712,
https://dps.report/4e9m-20230917-193146_gors,2023.09.17,19:31:46,13.438,13.681,20.881,21.888,,,,,,,,,,,,,,,,,
https://dps.report/70qK-20230917-193405_gors,2023.09.17,19:34:05,14.307,14.568,21.844,22.693,,,,,,,,,,,,,,,,,
https://dps.report/DTwK-20230917-193532_gors,2023.09.17,19:35:32,12.258,12.487,,,,,,,,,,,,,,,,,,,
https://dps.report/3HBT-20230917-193742_gors,2023.09.17,19:37:42,13.841,14.09,21.05,21.203,33.788,34.784,37.286,35.382,37.261,56.252,56.483,58.699,58.842,81.011,81.011,78.487,,83.08,,,
https://dps.report/biME-20230917-193847_gors,2023.09.17,19:38:47,13.826,14.057,,,,,,,,,,,,,,,,,,,
https://dps.report/6teZ-20230917-194103_gors,2023.09.17,19:41:03,14.495,14.728,21.176,21.335,32.084,36.578,39.378,36.381,39.264,58.14,58.366,61.452,61.62,,,,,,,,
https://dps.report/vODy-20230917-194209_gors,2023.09.17,19:42:09,12.96,13.193,,,,,,,,,,,,,,,,,,,
https://dps.report/ClIE-20230917-194325_gors,2023.09.17,19:43:25,13.41,13.624,21.864,,,,,,,,,,,,,,,,,,
https://dps.report/vv8R-20230917-194517_gors,2023.09.17,19:45:17,14.271,14.5,20.742,20.901,34.179,35.781,35.891,33.891,35.87,54.54,54.776,58.698,,,,,,,,,
https://dps.report/YIjM-20230917-194621_gors,2023.09.17,19:46:21,,,,,,,,,,,,,,,,,,,,,
https://dps.report/nphw-20230917-194853_gors,2023.09.17,19:48:53,14.174,14.403,20.562,20.724,33.255,32.864,33.752,37.068,37.052,55.852,56.094,59.012,59.16,80.071,82.568,77.083,80.163,82.493,98.737,98.975,
https://dps.report/4aqh-20230917-195159_gors,2023.09.17,19:51:59,14.325,14.573,20.632,20.809,32.45,35.368,34.772,32.849,35.29,54.778,55.003,60.045,60.66,,,,,,,,
https://dps.report/CjuU-20230917-195326_gors,2023.09.17,19:53:26,14.092,14.323,21.943,22.428,,,,,,,,,,,,,,,,,
https://dps.report/FW5c-20230917-195421_gors,2023.09.17,19:54:21,,,,,,,,,,,,,,,,,,,,,
https://dps.report/wU5R-20230917-195536_gors,2023.09.17,19:55:36,13.408,13.624,21.867,22.033,,,,,,,,,,,,,,,,,
https://dps.report/vd5b-20230919-180548_gors,2023.09.19,18:05:48,13.93,14.167,,,,,,,,,,,,,,,,,,,
https://dps.report/CJQi-20230919-180754_gors,2023.09.19,18:07:54,14.076,14.313,21.797,21.954,36.629,36.528,42.13,38.228,42.013,61.156,61.407,63.907,64.096,,,,,,,,
https://dps.report/B7HL-20230919-181111_gors,2023.09.19,18:11:11,13.757,13.997,21.418,22.271,,,,,,,,,,,,,,,,,
https://dps.report/BRxj-20230919-181227_gors,2023.09.19,18:12:27,13.13,13.372,21.679,22.613,,,,,,,,,,,,,,,,,
https://dps.report/wBql-20230919-181343_gors,2023.09.19,18:13:43,14.482,14.73,20.799,21.841,,,,,,,,,,,,,,,,,
https://dps.report/SrGj-20230919-181540_gors,2023.09.19,18:15:40,14.086,14.335,20.972,21.137,33.731,32.033,38.139,34.85,38.057,56.768,57.024,60.619,60.773,,,,,,,,
https://dps.report/IfD0-20230919-181847_gors,2023.09.19,18:18:47,14.121,14.363,21.631,22.964,,,,,,,,,,,,,,,,,
https://dps.report/DXVF-20230919-182017_gors,2023.09.19,18:20:17,13.784,14.034,,,,,,,,,,,,,,,,,,,
https://dps.report/q0L6-20230919-182234_gors,2023.09.19,18:22:34,13.966,14.204,20.951,21.118,31.871,36.271,37.675,36.886,37.606,56.392,56.626,59.618,59.76,79.086,80.781,80.079,73.19,80.711,,,
https://dps.report/sarF-20230919-182757_gors,2023.09.19,18:27:57,12.463,12.691,20.497,20.818,,,,,,,,,,,,,,,,,
https://dps.report/MF4J-20230919-183154_gors,2023.09.19,18:31:54,12.731,12.957,21.569,,,,,,,,,,,,,,,,,,
https://dps.report/8eVX-20230919-183310_gors,2023.09.19,18:33:10,14.222,14.454,22.05,,,,,,,,,,,,,,,,,,
https://dps.report/Rj0e-20230919-183417_gors,2023.09.19,18:34:17,12.352,12.418,,,,,,,,,,,,,,,,,,,
https://dps.report/kcJB-20230919-183644_gors,2023.09.19,18:36:44,14.208,14.448,20.972,21.124,34.082,33.081,38.793,36.683,38.777,57.886,58.135,61.924,62.097,83.992,81.704,76.53,82.4,83.954,,,
https://dps.report/e8bL-20230919-183746_gors,2023.09.19,18:37:46,,,,,,,,,,,,,,,,,,,,,
https://dps.report/MvHR-20230919-184021_gors,2023.09.19,18:40:21,14.125,14.373,20.695,20.854,32.47,35.465,37.068,34.967,37.053,56.375,56.602,59.129,59.313,78.467,80.573,80.976,72.276,80.903,96.974,97.225,
https://dps.report/iumU-20230919-184135_gors,2023.09.19,18:41:35,13.156,13.405,22.169,,,,,,,,,,,,,,,,,,
https://dps.report/NRH1-20230919-184511_gors,2023.09.19,18:45:11,12.975,13.202,20.799,20.975,33.061,35.569,39.358,34.151,39.298,58.36,58.604,60.493,60.646,78.48,82.659,80.951,80.059,82.568,98.858,99.099,
https://dps.report/3x0A-20230919-184701_gors,2023.09.19,18:47:01,14.072,14.322,21.463,,,,,,,,,,,,,,,,,,
https://dps.report/W7SI-20230919-184915_gors,2023.09.19,18:49:15,13.823,14.058,21.221,22.057,,,,,,,,,,,,,,,,,
https://dps.report/tJrZ-20230919-185158_gors,2023.09.19,18:51:58,14.126,14.373,20.444,20.677,35.365,35.859,36.758,33.252,36.648,57.729,57.954,,,,,,,,,,
https://dps.report/ToX1-20230919-185312_gors,2023.09.19,18:53:12,13.296,13.524,20.873,21.638,,,,,,,,,,,,,,,,,
https://dps.report/pC9j-20230919-185447_gors,2023.09.19,18:54:47,14.447,14.709,21.505,21.843,,,,,,,,,,,,,,,,,
https://dps.report/AJDk-20230919-185614_gors,2023.09.19,18:56:14,13.079,13.312,21.128,,,,,,,,,,,,,,,,,,
https://dps.report/EpjJ-20230919-185749_gors,2023.09.19,18:57:49,13.289,13.535,20.712,21.644,,,,,,,,,,,,,,,,,
https://dps.report/cAGV-20230919-190012_gors,2023.09.19,19:00:12,14.44,14.67,,,,,,,,,,,,,,,,,,,
https://dps.report/3NmQ-20230919-190700_gors,2023.09.19,19:07:00,12.291,12.514,,,,,,,,,,,,,,,,,,,
https://dps.report/JJwB-20230919-190816_gors,2023.09.19,19:08:16,14.134,14.36,21.643,,,,,,,,,,,,,,,,,,
https://dps.report/xr16-20230919-191054_gors,2023.09.19,19:10:54,14.249,14.468,20.711,21.191,33.373,36.704,36.972,38.178,38.088,57.004,57.256,59.438,59.602,73.778,78.474,76.868,80.577,80.555,96.676,96.911,102.706
https://dps.report/q5m4-20230919-191617_gors,2023.09.19,19:16:17,13.231,13.485,20.597,21.555,,,,,,,,,,,,,,,,,
https://dps.report/fIJ9-20230919-191833_gors,2023.09.19,19:18:33,12.33,12.576,19.88,20.519,,,,,,,,,,,,,,,,,
https://dps.report/KD8p-20230919-191930_gors,2023.09.19,19:19:30,12.95,13.201,,,,,,,,,,,,,,,,,,,
https://dps.report/DZSO-20230919-192041_gors,2023.09.19,19:20:41,14.32,14.557,21.06,21.701,,,,,,,,,,,,,,,,,
https://dps.report/FueI-20230919-192305_gors,2023.09.19,19:23:05,13.798,14.059,20.604,20.754,35.544,38.742,36.249,37.263,38.701,58.405,58.65,60.047,60.592,78.043,80.553,73.95,76.648,80.517,96.494,96.719,
