link,date,time,phase 1 start,phase 2 start,phase 3 start,phase 1 - add1,phase 1 - add2,phase 1 - add3,phase 2 - add1,phase 2 - add2,phase 2 - add3,phase 2 - add4,phase 2 - add5,phase 3 - add1,phase 3 - add2,phase 3 - add3,phase 3 - add4,phase 3 - add5,phase 3 - add6,phase 3 - add7,phase 1 - slam1,phase 2 - slam1,phase 2 - slam2,phase 3 - slam1,phase 3 - slam2,phase 3 - slam3,phase 3 - slam4
https://dps.report/jRg3-20240305-225043_cerus,2024.03.05,22:50:43,0.0,128.883,,26.12,51.497,,44.543,60.115,111.751,,,,,,,,,,,68.038,,,,,
https://dps.report/gel3-20240305-225513_cerus,2024.03.05,22:55:13,0.0,130.233,,26.147,51.5,,44.532,60.131,,,,,,,,,,,,,,,,,
https://dps.report/H356-20240306-201238_cerus,2024.03.06,20:12:38,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://dps.report/PwHI-20240306-201716_cerus,2024.03.06,20:17:16,0.0,133.769,,26.123,51.511,,44.526,60.127,111.758,,,,,,,,,,75.018,68.043,,,,,
https://dps.report/WHZk-20240306-202245_cerus,2024.03.06,20:22:45,0.0,135.969,,26.138,51.49,,,,,,,,,,,,,,74.995,,,,,,
https://dps.report/FHff-20240306-202623_cerus,2024.03.06,20:26:23,0.0,133.403,,26.116,51.462,,,,,,,,,,,,,,74.987,,,,,,
https://dps.report/B0Rh-20240306-203228_cerus,2024.03.06,20:32:28,0.0,133.858,,26.129,51.492,,44.504,60.111,,,,,,,,,,,75.005,68.025,,,,,
https://dps.report/ODOD-20240306-203729_cerus,2024.03.06,20:37:29,0.0,133.606,,26.128,51.48,,44.512,60.131,111.792,,,,,,,,,,75.008,68.034,,,,,
https://dps.report/wqlm-20240306-204110_cerus,2024.03.06,20:41:10,0.0,,,26.133,,,,,,,,,,,,,,,,,,,,,
https://dps.report/e4QL-20240306-204245_cerus,2024.03.06,20:42:45,0.0,,,26.119,51.484,,,,,,,,,,,,,,,,,,,,
https://dps.report/2Vwh-20240306-204533_cerus,2024.03.06,20:45:33,0.0,131.968,,26.113,51.469,,,,,,,,,,,,,,75.001,,,,,,
https://dps.report/Ec01-20240306-204927_cerus,2024.03.06,20:49:27,0.0,126.679,,26.134,51.484,,44.523,60.125,,,,,,,,,,,75.01,68.04,,,,,
https://dps.report/C7fF-20240306-205333_cerus,2024.03.06,20:53:33,0.0,129.558,,26.132,51.473,,44.548,60.124,,,,,,,,,,,75.01,68.031,,,,,
https://dps.report/Kkg5-20240306-205832_cerus,2024.03.06,20:58:32,0.0,123.663,,26.137,51.511,,44.511,60.115,111.755,,,,,,,,,,75.001,68.021,,,,,
https://dps.report/e1PQ-20240306-210325_cerus,2024.03.06,21:03:25,0.0,127.38,,26.124,51.485,,44.519,60.105,111.756,,,,,,,,,,75.018,68.04,,,,,
https://dps.report/KUrk-20240306-211130_cerus,2024.03.06,21:11:30,0.0,134.404,,26.107,51.487,,44.533,60.115,111.752,,,,,,,,,,75.001,68.041,135.278,,,,
https://dps.report/XZj4-20240306-211302_cerus,2024.03.06,21:13:02,0.0,,,26.136,51.488,,,,,,,,,,,,,,,,,,,,
https://dps.report/7b1W-20240306-212026_cerus,2024.03.06,21:20:26,0.0,126.897,329.496,26.133,51.486,,44.505,60.119,111.758,192.946,,45.131,61.835,,,,,,75.032,68.033,135.293,53.438,,,
https://dps.report/fALX-20240306-212943_cerus,2024.03.06,21:29:43,0.0,128.199,,26.127,51.485,,44.534,60.129,,,,,,,,,,,75.01,68.042,,,,,
https://dps.report/Ci68-20240306-213544_cerus,2024.03.06,21:35:44,0.0,126.437,331.839,26.12,51.483,,44.516,60.127,111.774,,,,,,,,,,74.99,68.053,135.273,,,,
https://dps.report/538m-20240306-214319_cerus,2024.03.06,21:43:19,0.0,128.243,,26.111,51.47,,44.519,60.123,,,,,,,,,,,75.0,68.052,,,,,
https://dps.report/OnpF-20240306-215715_cerus,2024.03.06,21:57:15,0.0,128.093,,26.121,51.488,,44.522,60.118,111.75,,,,,,,,,,75.022,68.032,135.283,,,,
https://dps.report/IoGn-20240306-215932_cerus,2024.03.06,21:59:32,0.0,,,26.118,51.482,,,,,,,,,,,,,,75.015,,,,,,
https://dps.report/kvxd-20240306-220345_cerus,2024.03.06,22:03:45,0.0,124.442,,26.123,51.485,,44.531,60.143,,,,,,,,,,,74.995,68.047,,,,,
https://dps.report/b3FR-20240306-220855_cerus,2024.03.06,22:08:55,0.0,127.08,,26.13,51.492,,44.536,60.128,,,,,,,,,,,74.995,68.048,,,,,
https://dps.report/mQIx-20240306-221105_cerus,2024.03.06,22:11:05,0.0,,,26.125,51.483,,,,,,,,,,,,,,75.017,,,,,,
https://dps.report/sgXO-20240306-221221_cerus,2024.03.06,22:12:21,0.0,,,26.143,51.486,,,,,,,,,,,,,,,,,,,,
https://dps.report/FIUo-20240306-221423_cerus,2024.03.06,22:14:23,0.0,,,26.141,51.496,,,,,,,,,,,,,,75.027,,,,,,
https://dps.report/ws2p-20240306-221909_cerus,2024.03.06,22:19:09,0.0,128.768,,26.12,51.476,,44.504,60.124,111.762,,,,,,,,,,74.991,68.048,,,,,
https://dps.report/aBMx-20240306-222345_cerus,2024.03.06,22:23:45,0.0,127.645,,26.124,51.496,,44.531,60.131,111.783,,,,,,,,,,75.006,68.061,,,,,
https://dps.report/soTG-20240306-223117_cerus,2024.03.06,22:31:17,0.0,128.147,333.056,26.138,51.519,,44.502,60.093,111.763,179.002,180.12,45.149,61.847,,,,,,75.003,68.016,135.254,53.449,,,
https://dps.report/38Gj-20240306-223424_cerus,2024.03.06,22:34:24,0.0,,,26.117,51.48,,,,,,,,,,,,,,74.997,,,,,,
https://dps.report/0I3Y-20240306-223534_cerus,2024.03.06,22:35:34,0.0,,,26.129,,,,,,,,,,,,,,,,,,,,,
https://dps.report/WIT3-20240306-223652_cerus,2024.03.06,22:36:52,0.0,,,26.125,51.496,,,,,,,,,,,,,,,,,,,,
https://dps.report/mbxj-20240306-224027_cerus,2024.03.06,22:40:27,0.0,122.88,,26.112,51.469,,44.524,60.118,,,,,,,,,,,75.005,68.033,,,,,
https://dps.report/qGKE-20240306-224200_cerus,2024.03.06,22:42:00,0.0,,,26.13,51.479,,,,,,,,,,,,,,,,,,,,
https://dps.report/TxIg-20240306-224707_cerus,2024.03.06,22:47:07,0.0,123.858,,26.124,51.491,,44.493,60.098,111.744,,,,,,,,,,74.995,68.027,,,,,
https://dps.report/5P84-20240306-225226_cerus,2024.03.06,22:52:26,0.0,125.334,,26.136,51.484,,44.526,60.114,111.764,,,,,,,,,,75.006,68.046,135.272,,,,
https://dps.report/uqMQ-20240307-201404_cerus,2024.03.07,20:14:04,0.0,141.687,,26.127,51.473,118.731,44.512,60.121,111.766,,,,,,,,,,74.988,68.037,,,,,
https://dps.report/hFV5-20240307-201908_cerus,2024.03.07,20:19:08,0.0,128.063,,26.107,51.487,,44.523,60.128,111.774,,,,,,,,,,74.988,68.037,135.29,,,,
https://dps.report/xw0D-20240307-202649_cerus,2024.03.07,20:26:49,0.0,124.674,326.869,26.131,51.489,,44.521,60.131,111.756,191.909,,45.114,61.829,,,,,,75.007,68.024,135.294,53.44,,,
https://dps.report/Gokd-20240307-202931_cerus,2024.03.07,20:29:31,0.0,,,26.136,51.497,,,,,,,,,,,,,,75.006,,,,,,
https://dps.report/uRH9-20240307-203204_cerus,2024.03.07,20:32:04,0.0,124.836,,26.127,51.465,,,,,,,,,,,,,,74.998,,,,,,
https://dps.report/yO3Q-20240307-203603_cerus,2024.03.07,20:36:03,0.0,124.675,,26.131,51.471,,44.515,60.119,,,,,,,,,,,74.989,68.043,,,,,
https://dps.report/FYsW-20240307-204104_cerus,2024.03.07,20:41:04,0.0,122.95,,26.123,51.473,,44.52,60.139,111.752,,,,,,,,,,74.984,68.052,135.28,,,,
https://dps.report/R3z4-20240307-204748_cerus,2024.03.07,20:47:48,0.0,124.179,,26.141,51.493,,44.515,60.129,111.743,,,,,,,,,,75.011,68.025,135.269,,,,
https://dps.report/s1UG-20240307-205339_cerus,2024.03.07,20:53:39,0.0,121.46,312.044,26.125,51.489,,44.535,60.097,111.76,,,,,,,,,,74.999,68.026,135.282,,,,
https://dps.report/Rkes-20240307-210007_cerus,2024.03.07,21:00:07,0.0,122.127,313.296,26.132,51.491,,44.528,60.14,111.775,,,,,,,,,,75.002,68.039,135.278,,,,
https://dps.report/2X9e-20240307-210948_cerus,2024.03.07,21:09:48,0.0,121.915,311.721,26.126,51.477,,44.521,60.139,111.775,,,45.12,61.848,,,,,,75.02,68.037,135.273,53.41,,,
https://dps.report/3nlV-20240307-211443_cerus,2024.03.07,21:14:43,0.0,121.311,,26.125,51.496,,44.546,60.146,111.764,,,,,,,,,,74.997,68.061,,,,,
https://dps.report/ifvA-20240307-212900_cerus,2024.03.07,21:29:00,0.0,128.994,,26.143,51.488,,,,,,,,,,,,,,75.019,,,,,,
https://dps.report/1WNF-20240307-213453_cerus,2024.03.07,21:34:53,0.0,126.328,315.517,26.125,51.475,,44.516,60.121,111.747,,,,,,,,,,74.988,68.022,135.27,,,,
https://dps.report/H6F5-20240307-214221_cerus,2024.03.07,21:42:21,0.0,126.644,321.899,26.122,51.478,,0.994,44.541,60.119,111.76,,45.122,61.815,,,,,,75.008,68.048,135.264,53.432,,,
https://dps.report/uscJ-20240307-215051_cerus,2024.03.07,21:50:51,0.0,125.321,324.757,26.112,51.499,,44.509,60.107,111.764,193.831,,,,,,,,,74.995,68.054,135.288,,,,
https://dps.report/VSNb-20240307-215206_cerus,2024.03.07,21:52:06,0.0,,,26.129,,,,,,,,,,,,,,,,,,,,,
https://dps.report/JQTz-20240307-215334_cerus,2024.03.07,21:53:34,0.0,,,26.147,51.503,,,,,,,,,,,,,,,,,,,,
https://dps.report/cUWV-20240307-215811_cerus,2024.03.07,21:58:11,0.0,124.832,,26.127,51.487,,44.552,60.134,111.766,,,,,,,,,,75.009,68.07,,,,,
https://dps.report/EHS5-20240307-220523_cerus,2024.03.07,22:05:23,0.0,121.795,308.731,26.11,51.482,,44.52,60.124,111.752,,,45.102,61.836,,,,,,75.0,68.024,135.296,53.415,,,
https://dps.report/vDMq-20240307-221623_cerus,2024.03.07,22:16:23,0.0,119.776,305.738,26.139,51.496,,44.523,60.123,111.757,,,45.114,61.818,,,,,,75.016,68.036,135.274,53.444,,,
https://dps.report/CmXx-20240307-222414_cerus,2024.03.07,22:24:14,0.0,122.088,302.55,26.129,51.488,,44.523,60.123,111.746,,,,,,,,,,75.009,68.018,135.27,,,,
https://dps.report/F92f-20240307-222953_cerus,2024.03.07,22:29:53,0.0,123.437,305.249,26.137,51.494,,44.525,60.144,111.76,,,,,,,,,,75.004,68.047,135.303,,,,
https://dps.report/B2ii-20240307-223014_cerus,2024.03.07,22:30:14,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://dps.report/WGyR-20240307-223648_cerus,2024.03.07,22:36:48,0.0,124.714,,26.137,51.479,,44.546,60.115,,,,,,,,,,,75.006,68.05,,,,,
https://dps.report/dQDT-20240307-223829_cerus,2024.03.07,22:38:29,0.0,,,26.115,51.492,,,,,,,,,,,,,,,,,,,,
https://dps.report/U5ya-20240307-224230_cerus,2024.03.07,22:42:30,0.0,124.187,,26.112,51.478,,44.529,60.135,,,,,,,,,,,75.006,68.054,,,,,
https://dps.report/UtsU-20240309-135618_cerus,2024.03.09,13:56:18,0.0,123.362,,26.133,51.498,,44.546,60.134,111.759,,,,,,,,,,75.008,68.061,,,,,
