link,date,time,phase 1 start,phase 2 start,phase 3 start,phase 1 - add1,phase 1 - add2,phase 1 - add3,phase 2 - add1,phase 2 - add2,phase 2 - add3,phase 2 - add4,phase 2 - add5,phase 3 - add1,phase 3 - add2,phase 3 - add3,phase 3 - add4,phase 3 - add5,phase 3 - add6,phase 3 - add7,phase 1 - slam1,phase 2 - slam1,phase 2 - slam2,phase 3 - slam1,phase 3 - slam2,phase 3 - slam3,phase 3 - slam4
https://dps.report/LjLx-20240307-215811_cerus,2024.03.07,21:58:11,0.0,124.832,,26.127,51.487,,44.552,60.134,111.766,,,,,,,,,,75.009,68.07,,,,,
https://dps.report/ukf0-20240307-220523_cerus,2024.03.07,22:05:23,0.0,121.795,308.731,26.11,51.482,,44.52,60.124,111.752,,,45.102,61.836,,,,,,75.0,68.024,135.296,53.415,,,
https://dps.report/pFwr-20240307-221623_cerus,2024.03.07,22:16:23,0.0,119.776,305.738,26.139,51.496,,44.523,60.123,111.757,,,45.114,61.818,,,,,,75.016,68.036,135.274,53.444,,,
https://dps.report/3ysZ-20240307-222414_cerus,2024.03.07,22:24:14,0.0,122.088,302.55,26.129,51.488,,44.523,60.123,111.746,,,,,,,,,,75.009,68.018,135.27,,,,
https://dps.report/U5Bg-20240307-222953_cerus,2024.03.07,22:29:53,0.0,123.437,305.249,26.137,51.494,,44.525,60.144,111.76,,,,,,,,,,75.004,68.047,135.303,,,,
https://dps.report/IgMB-20240307-223014_cerus,2024.03.07,22:30:14,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://dps.report/Hee9-20240307-223648_cerus,2024.03.07,22:36:48,0.0,124.714,,26.137,51.479,,44.546,60.115,,,,,,,,,,,75.006,68.05,,,,,
https://dps.report/lhIC-20240307-223829_cerus,2024.03.07,22:38:29,0.0,,,26.115,51.492,,,,,,,,,,,,,,,,,,,,
https://dps.report/DX7A-20240307-224230_cerus,2024.03.07,22:42:30,0.0,124.187,,26.112,51.478,,44.529,60.135,,,,,,,,,,,75.006,68.054,,,,,
https://dps.report/VE9S-20240309-135618_cerus,2024.03.09,13:56:18,0.0,123.362,,26.133,51.498,,44.546,60.134,111.759,,,,,,,,,,75.008,68.061,,,,,
https://dps.report/EPGC-20240309-140333_cerus,2024.03.09,14:03:33,0.0,122.847,317.427,26.14,51.496,,44.525,60.156,111.77,179.003,180.13,45.106,61.832,,,,,,75.012,68.051,135.288,53.435,,,
https://dps.report/6JhE-20240309-140755_cerus,2024.03.09,14:07:55,0.0,122.378,,26.134,51.499,,,,,,,,,,,,,,74.997,,,,,,
https://dps.report/gbrI-20240309-141221_cerus,2024.03.09,14:12:21,0.0,129.15,,26.136,51.479,,44.557,60.127,,,,,,,,,,,74.999,68.041,,,,,
https://dps.report/rSuo-20240309-141538_cerus,2024.03.09,14:15:38,0.0,120.527,,26.14,51.507,,,,,,,,,,,,,,75.022,,,,,,
https://dps.report/i3Aa-20240309-141842_cerus,2024.03.09,14:18:42,0.0,122.043,,26.127,51.493,,,,,,,,,,,,,,75.019,,,,,,
https://dps.report/ftTQ-20240309-142018_cerus,2024.03.09,14:20:18,0.0,,,26.137,51.486,,,,,,,,,,,,,,,,,,,,
https://dps.report/XOZd-20240309-142708_cerus,2024.03.09,14:27:08,0.0,125.974,318.04,26.139,51.494,,44.527,60.125,111.767,,,45.131,61.862,,,,,,75.001,68.045,135.285,53.436,,,
https://dps.report/l3jb-20240309-143153_cerus,2024.03.09,14:31:53,0.0,124.723,,26.124,51.517,,44.534,60.136,111.758,,,,,,,,,,75.02,68.062,,,,,
https://dps.report/6rgH-20240309-143805_cerus,2024.03.09,14:38:05,0.0,130.137,,26.129,51.497,,44.51,60.111,111.732,,,,,,,,,,74.988,68.04,135.265,,,,
https://dps.report/wwG8-20240309-144447_cerus,2024.03.09,14:44:47,0.0,123.757,308.749,26.134,51.478,,44.517,60.126,111.76,,,45.141,61.858,,,,,,75.01,68.047,135.277,53.452,,,
