link,date,time,p1 breakbar start,p1 breakbar end,p1 end,s1 start,s1 add1 death,s1 add2 death,s1 add3 death,s1 add4 death,p2 start,p2 breakbar start,p2 breakbar end,p2 end,s2 start,s2 add1 death,s2 add2 death,s2 add3 death,s2 add4 death,p3 start,p3 breakbar start,p3 breakbar end,p3 end
https://dps.report/oGEd-20240411-213508_gors,2024.04.11,21:35:08,13.403,13.642,19.03,19.194,28.724,29.124,30.123,29.823,30.089,49.075,49.315,,,,,,,,,,
https://dps.report/FYM9-20240411-213816_gors,2024.04.11,21:38:16,14.872,15.116,19.351,19.514,29.766,29.966,30.066,32.665,32.564,51.273,51.515,54.325,54.486,,,,,,,,
https://dps.report/BDbs-20240411-214002_gors,2024.04.11,21:40:02,13.442,13.669,19.99,20.158,30.6,32.599,30.199,32.3,32.48,51.874,52.119,55.91,56.075,,,,,,,,
https://dps.report/Xx3d-20240411-214945_gors,2024.04.11,21:49:45,13.173,13.412,19.447,19.602,29.135,31.537,29.735,29.335,31.496,52.88,53.115,,,,,,,,,,
https://dps.report/HsUE-20240411-215208_gors,2024.04.11,21:52:08,13.3,13.541,19.101,19.278,30.862,30.862,29.462,29.462,30.837,49.667,49.903,53.62,53.784,,,,,,,,
https://dps.report/VXIf-20240411-215408_gors,2024.04.11,21:54:08,14.435,14.674,19.158,19.31,31.482,29.482,31.084,30.383,31.357,50.559,50.789,53.709,53.877,,,,,,,,
