link,date,time,stacks P1,stacks P2,final percent,final stacks,barrier applications,total barrier,downstates
https://dps.report/aBMx-20240306-222345_cerus,2024.03.06,22:23:45,0,,57.1,0,0,30240,1
https://dps.report/soTG-20240306-223117_cerus,2024.03.06,22:31:17,2,7,39.28,15,27,3292065,7
https://dps.report/38Gj-20240306-223424_cerus,2024.03.06,22:34:24,,,80.46,1,2,351392,1
https://dps.report/0I3Y-20240306-223534_cerus,2024.03.06,22:35:34,,,94.13,0,0,0,1
https://dps.report/WIT3-20240306-223652_cerus,2024.03.06,22:36:52,,,89.56,5,4,270576,0
https://dps.report/mbxj-20240306-224027_cerus,2024.03.06,22:40:27,0,,65.49,5,2,9755,0
https://dps.report/qGKE-20240306-224200_cerus,2024.03.06,22:42:00,,,88.35,6,3,623036,1
https://dps.report/TxIg-20240306-224707_cerus,2024.03.06,22:47:07,5,,56.37,26,7,437191,1
https://dps.report/5P84-20240306-225226_cerus,2024.03.06,22:52:26,5,,54.5,16,5,1650901,3
https://dps.report/uqMQ-20240307-201404_cerus,2024.03.07,20:14:04,4,,59.16,29,11,2176939,7
https://dps.report/hFV5-20240307-201908_cerus,2024.03.07,20:19:08,1,,53.78,26,7,2022391,2
https://dps.report/xw0D-20240307-202649_cerus,2024.03.07,20:26:49,0,6,40.41,42,14,3348486,9
https://dps.report/Gokd-20240307-202931_cerus,2024.03.07,20:29:31,,,79.52,5,1,218792,1
https://dps.report/uRH9-20240307-203204_cerus,2024.03.07,20:32:04,1,,78.91,17,2,510637,0
https://dps.report/yO3Q-20240307-203603_cerus,2024.03.07,20:36:03,1,,65.77,21,4,751559,0
https://dps.report/FYsW-20240307-204104_cerus,2024.03.07,20:41:04,6,,54.46,21,4,681952,5
https://dps.report/R3z4-20240307-204748_cerus,2024.03.07,20:47:48,1,0,49.57,1,0,0,2
https://dps.report/s1UG-20240307-205339_cerus,2024.03.07,20:53:39,2,3,49.59,19,4,998743,1
https://dps.report/Rkes-20240307-210007_cerus,2024.03.07,21:00:07,0,10,49.57,25,8,1728716,2
https://dps.report/2X9e-20240307-210948_cerus,2024.03.07,21:09:48,0,0,39.21,10,0,5116,0
https://dps.report/3nlV-20240307-211443_cerus,2024.03.07,21:14:43,0,,59.15,8,2,1028781,1
https://dps.report/ifvA-20240307-212900_cerus,2024.03.07,21:29:00,5,,78.86,15,3,204892,3
https://dps.report/1WNF-20240307-213453_cerus,2024.03.07,21:34:53,5,0,48.78,20,5,567555,1
https://dps.report/H6F5-20240307-214221_cerus,2024.03.07,21:42:21,1,3,38.48,19,18,2336083,11
https://dps.report/uscJ-20240307-215051_cerus,2024.03.07,21:50:51,3,4,48.59,22,12,2280683,3
https://dps.report/VSNb-20240307-215206_cerus,2024.03.07,21:52:06,,,94.21,0,0,0,4
https://dps.report/JQTz-20240307-215334_cerus,2024.03.07,21:53:34,,,88.17,8,1,194791,0
https://dps.report/cUWV-20240307-215811_cerus,2024.03.07,21:58:11,1,,57.46,1,4,639917,0
https://dps.report/EHS5-20240307-220523_cerus,2024.03.07,22:05:23,0,3,37.96,13,4,555866,4
https://dps.report/vDMq-20240307-221623_cerus,2024.03.07,22:16:23,0,6,37.98,31,6,1767938,5
https://dps.report/CmXx-20240307-222414_cerus,2024.03.07,22:24:14,1,2,49.5,8,4,1038767,0
https://dps.report/F92f-20240307-222953_cerus,2024.03.07,22:29:53,5,0,49.61,17,7,222500,2
https://dps.report/B2ii-20240307-223014_cerus,2024.03.07,22:30:14,,,99.99,5,0,0,0
https://dps.report/WGyR-20240307-223648_cerus,2024.03.07,22:36:48,1,,65.64,9,3,529972,0
https://dps.report/dQDT-20240307-223829_cerus,2024.03.07,22:38:29,,,88.28,6,10,534435,3
https://dps.report/U5ya-20240307-224230_cerus,2024.03.07,22:42:30,2,,65.61,13,3,555924,1
https://dps.report/UtsU-20240309-135618_cerus,2024.03.09,13:56:18,0,,58.85,6,0,10405,1
